CityID;CityName;StateProvinceID;LatestRecordedPopulation;LastEditedBy;ValidFrom;ValidTo
152;Adena;36;759;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
153;Adgateville;11;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
154;Adin;5;272;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
155;Adjuntas;40;4406;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
156;Admire;17;156;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
157;Adna;50;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
158;Adolphus;18;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
159;Adona;4;209;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
160;Adrian;11;664;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
161;Adrian;45;166;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
162;Adrian;38;177;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
163;Adrian;26;1677;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
164;Adrian;24;1257;15;2015-07-01 16:00:00.0000000;9999-12-31 23:59:59.9999999
165;Adrian;23;21133;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
166;Advance;26;1347;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
167;Advance;15;477;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
168;Advance;34;1138;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
169;Advance;23;328;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
170;Adwolf;49;1530;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
171;Ady;21;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
172;Ady;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
173;Aeneas;50;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
174;Aetna;17;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
175;Affton;26;20307;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
176;Afton;24;2886;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
177;Afton;16;845;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
178;Afton;33;822;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
179;Afton;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
180;Afton;5;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
181;Afton;37;1049;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
182;Afton;53;1911;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
183;Agar;43;76;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
184;Agate;6;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
185;Agate Beach;38;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
186;Agawam;27;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
187;Agawam;22;28438;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
188;Agawam;37;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
189;Agency;16;638;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
